43120000 00000092
3f420ad3 00000000
3f2b676c 00000000
37000000 00000000
496feb03 000efeb0
00000000 00000000
00000000 00000000
00000000 00000000
4926bf0e 000a6bf0
490ee299 0008ee29
c3e08000 fffffe3f
c4138000 fffffdb2
713a7539 7fffffff
440e8000 0000023a
00000000 00000000
490c85ed 0008c85e
f04f9bcb 80000000
bec53e7b 00000000
80000000 00000000
c3b30000 fffffe9a
494252a9 000c252a
00000000 00000000
3dbb02fd 00000000
48b970a5 0005cb85
f10ae60e 80000000
80000000 00000000
48821dde 000410ee
80000000 00000000
46800000 00004000
bf6a160f 00000000
c474c000 fffffc2d
c7f62fe3 fffe13a1
c87b8399 fffc11f2
00000000 00000000
4d800000 10000000
00000000 00000000
c3f30000 fffffe1a
70d454d5 7fffffff
70246d5f 7fffffff
80000000 00000000
70e6f5cb 7fffffff
f1053100 80000000
00000000 00000000
f0f07bd3 80000000
80000000 00000000
c9380a24 fff47f5e
f11f87df 80000000
42b20000 00000059
00000000 00000000
00000000 00000000
c91ec3e9 fff613c2
c91b64a8 fff649b6
40800000 00000004
445cc000 00000373
36000000 00000000
80000000 00000000
3ef9b9d8 00000000
c3e18000 fffffe3d
bf5b010f 00000000
c4258000 fffffd6a
80000000 00000000
42000000 00000020
c45f4000 fffffc83
00000000 00000000
80000000 00000000
bedca663 00000000
80000000 00000000
00000000 00000000
71173756 7fffffff
70a578df 7fffffff
f11a6767 80000000
7076a999 7fffffff
c93aa7bf fff45585
00000000 00000000
80000000 00000000
701404b8 7fffffff
80000000 00000000
80000000 00000000
3f732c56 00000000
00000000 00000000
46000000 00002000
00000000 00000000
34800000 00000000
c4418000 fffffcfa
00000000 00000000
c94e2687 fff31d98
3caae088 00000000
3ddf4091 00000000
f06a077c 80000000
c3d70000 fffffe52
00000000 00000000
7046375f 7fffffff
48800000 00040000
80000000 00000000
00000000 00000000
00000000 00000000
00000000 00000000
80000000 00000000
3deeefa2 00000000
3e9671a5 00000000
4c800000 04000000
45800000 00001000
3f0ef6cc 00000000
4915dc57 00095dc5
00000000 00000000
80000000 00000000
bdfff684 00000000
3f000000 00000000
f10368d6 80000000
3f068a8b 00000000
00000000 00000000
00000000 00000000
bf68ca89 00000000
80000000 00000000
702365d0 7fffffff
80000000 00000000
3f5101f2 00000000
3d000000 00000000
3ef6d819 00000000
47debc0e 0001bd78
00000000 00000000
42000000 00000020
80000000 00000000
c97340e3 fff0cbf2
49000000 00080000
bf0ee5a2 00000000
00000000 00000000
00000000 00000000
f08fce4d 80000000
4b800000 01000000
3f5d5385 00000000
431d0000 0000009d
48f97693 0007cbb4
3e55970f 00000000
80000000 00000000
80000000 00000000
00000000 00000000
f10eb650 80000000
00000000 00000000
47092966 00008929
80000000 00000000
80000000 00000000
3e96f27b 00000000
80000000 00000000
c907cdba fff78325
3f0662df 00000000
c3d08000 fffffe5f
4d000000 08000000
3e9d466b 00000000
4a800000 00400000
4450c000 00000343
70eb705b 7fffffff
f100ff94 80000000
00000000 00000000
473e2906 0000be29
80000000 00000000
80000000 00000000
3b800000 00000000
00000000 00000000
80000000 00000000
bf0c48fa 00000000
38800000 00000000
80000000 00000000
32800000 00000000
41800000 00000010
7145750e 7fffffff
80000000 00000000
80000000 00000000
00000000 00000000
c4364000 fffffd27
80000000 00000000
00000000 00000000
48697bc0 0003a5ef
4939586f 000b9586
c46ac000 fffffc55
437e0000 000000fe
43440000 000000c4
80000000 00000000
80000000 00000000
491fc42f 0009fc42
710c1ac3 7fffffff
be9c5799 00000000
41800000 00000010
80000000 00000000
00000000 00000000
48800000 00040000
37800000 00000000
3f4bf1a2 00000000
4c000000 02000000
00000000 00000000
80000000 00000000
bee38ceb 00000000
3edbd49e 00000000
00000000 00000000
00000000 00000000
00000000 00000000
00000000 00000000
43be8000 0000017d
44628000 0000038a
44f63cf0 000007b1
f09352cf 80000000
00000000 00000000
3b800000 00000000
31800000 00000000
00000000 00000000
80000000 00000000
f10c885b 80000000
ed8d8ca9 80000000
c4608000 fffffc7e
44444000 00000311
f11ec0ea 80000000
80000000 00000000
bf36caab 00000000
80000000 00000000
80000000 00000000
41880000 00000011
34000000 00000000
42de0000 0000006f
f10b670a 80000000
6fd77807 7fffffff
36000000 00000000
484dee3f 000337b8
30800000 00000000
bdc02843 00000000
bf2ad272 00000000
35000000 00000000
4411c000 00000247
f0276f97 80000000
70c8b819 7fffffff
c8801aa3 fffbff2b
00000000 00000000
46800000 00004000
3f021c0b 00000000
3edea762 00000000
36800000 00000000
41000000 00000008
3f1483a7 00000000
3f000000 00000000
00000000 00000000
f1359170 80000000
f0a6cf52 80000000
00000000 00000000
3c800000 00000000
3e984167 00000000
80000000 00000000
00000000 00000000
f0abc7ba 80000000
46bf4eac 00005fa7
80000000 00000000
4a800000 00400000
00000000 00000000
c8b82781 fffa3ec4
00000000 00000000
c3f18000 fffffe1d
48d2045f 00069022
f128f504 80000000
3ec79b67 00000000
80000000 00000000
439d8000 0000013b
3dd2a105 00000000
00000000 00000000
00000000 00000000
440d4000 00000235
4e800000 40000000
f0fca1f4 80000000
80000000 00000000
3e2403b9 00000000
00000000 00000000
4b000000 00800000
bf5d4bee 00000000
70f9fe55 7fffffff
44210000 00000284
00000000 00000000
00000000 00000000
bedd487d 00000000
438b0000 00000116
bf79cebf 00000000
3f509701 00000000
47fe58e6 0001fcb1
00000000 00000000
c7fdb615 fffe0494
3c000000 00000000
445e8000 0000037a
f143305a 80000000
f12eb483 80000000
00000000 00000000
80000000 00000000
80000000 00000000
00000000 00000000
70066686 7fffffff
f0165258 80000000
32800000 00000000
71182c54 7fffffff
3c000000 00000000
48000000 00020000
c640cd33 ffffcfcd
3c800000 00000000
c4490000 fffffcdc
43000000 00000080
c4784000 fffffc1f
43250000 000000a5
39800000 00000000
6fc5ac58 7fffffff
80000000 00000000
c38a8000 fffffeeb
80000000 00000000
80000000 00000000
bf76af22 00000000
3a800000 00000000
80000000 00000000
c953b3c0 fff2c4c4
bf3661b6 00000000
80000000 00000000
4a800000 00400000
c8825d78 fffbed15
80000000 00000000
c94999be fff36665
00000000 00000000
bf44efd0 00000000
713d1a93 7fffffff
710527c8 7fffffff
446e4000 000003b9
80000000 00000000
4c000000 02000000
43800000 00000100
bf74858e 00000000
80000000 00000000
c45f8000 fffffc82
80000000 00000000
44448000 00000312
c34c0000 ffffff34
00000000 00000000
703f19d7 7fffffff
00000000 00000000
3d800000 00000000
00000000 00000000
3eaf2dd1 00000000
70c46e32 7fffffff
708642e5 7fffffff
00000000 00000000
4a000000 00200000
c9043514 fff7bcaf
c4484000 fffffcdf
c3e98000 fffffe2d
41000000 00000008
00000000 00000000
3ee1bc3c 00000000
80000000 00000000
70c19501 7fffffff
c907aa72 fff78559
eff7b119 80000000
7132f6e9 7fffffff
495dac00 000ddac0
48800000 00040000
00000000 00000000
48e8f29b 00074794
43190000 00000099
80000000 00000000
70fe4e6f 7fffffff
ef009004 80000000
43000000 00000080
00000000 00000000
484968d1 000325a3
80000000 00000000
3f4e0ae7 00000000
3a800000 00000000
3f6dff3e 00000000
493439d0 000b439d
3d800000 00000000
44100000 00000240
c96971de fff168e3
36800000 00000000
4856d055 00035b41
80000000 00000000
00000000 00000000
30800000 00000000
bf3787ba 00000000
c8e908ac fff8b7bb
80000000 00000000
f1024f0c 80000000
442d0000 000002b4
3e082ae2 00000000
3d800000 00000000
bf655b15 00000000
80000000 00000000
c3938000 fffffed9
bef1cf16 00000000
3e4061dc 00000000
c91e71d8 fff618e3
70a039df 7fffffff
00000000 00000000
c3760000 ffffff0a
80000000 00000000
3d338697 00000000
00000000 00000000
80000000 00000000
44800000 00000400
3d25a060 00000000
f11c9627 80000000
00000000 00000000
80000000 00000000
c9248ed6 fff5b713
3e625c4a 00000000
00000000 00000000
43c78000 0000018f
42800000 00000040
c2920000 ffffffb7
3e5c41e8 00000000
bebed917 00000000
703adca7 7fffffff
c88c3a2d fffb9e2f
48800000 00040000
00000000 00000000
49575c87 000d75c8
3ea93d29 00000000
ef7a5d95 80000000
3a000000 00000000
f0d52696 80000000
00000000 00000000
3e000000 00000000
31800000 00000000
00000000 00000000
f12d728b 80000000
00000000 00000000
33800000 00000000
30800000 00000000
80000000 00000000
80000000 00000000
f10383f3 80000000
80000000 00000000
43da8000 000001b5
80000000 00000000
00000000 00000000
4d000000 08000000
488a459a 0004522c
00000000 00000000
80000000 00000000
f106f016 80000000
39800000 00000000
00000000 00000000
80000000 00000000
40000000 00000002
80000000 00000000
c8fa7350 fff82c66
3f5b846c 00000000
00000000 00000000
80000000 00000000
c91caf9e fff63507
c82d0c11 fffd4bd0
bef31517 00000000
3f5159b9 00000000
f0a36634 80000000
c92e02ef fff51fd2
be86ed37 00000000
49237f82 000a37f8
80000000 00000000
71012a6a 7fffffff
c95f9588 fff206a8
3f31e025 00000000
491c8cbe 0009c8cb
bc803b47 00000000
c43b0000 fffffd14
43bc8000 00000179
4921632c 000a1632
44694000 000003a5
38800000 00000000
42800000 00000040
